NOMBRE;CONTENIDO ASOCIADO;id;
determinar inyectividad, sobreyectividad de f o g;Composición de funciones;1;
f o g o h y su dominio v1.1;Dominio de función compuesta;2;
recta por un punto perpendicular a otra;Ecuación de recta;3;
recta por un punto paralela a otra;Ecuación de recta;3;
a cos^2(x) - b sen^2(x) = 0;Ecuación trigonométrica;3;
a sin^2(x) +b cos(x) = c;Ecuación trigonométrica;3;
costo de inmunizar árboles;Modelos funcionales;4;
concentración de CO en función del tiempo;Aplicación función compuesta;5;
dominio maximal para que g sea invertible;Máximo dominio;6;
fn inversa de f(x)=(x+a)_(x+b);Función Inversa;7;
(f o g o h)(x) y su dominio;Dominio de función compuesta;8;
cardinalidad de complementos;Cardinalidad de conjuntos;9;
Evaluar V de  p,q, r  y [ ( p Y q ) I ( p O r ) ] I r;Lógica;9;
determinar valores de a en lR de modo que diferencia entre raices de ecuacion ax^2+bx+a=0 sea menor que c;Inecuaciones con valor absoluto;9;
nivel terpéutico mínimo;Inecuación lineal;10;
lx-al+lx-bl&gt;c;Inecuación con valor absoluto;11
encontrar inf y sup funcion union;Infimo y supremo de conjuntos;12;
encuesta a T estudiantes en toma ramos;Conjuntos;12;
circuito [Nos S t S ((Nos S t) P Nor) S Not] P r;Circuitos lógicos;13;
intervalos de crecimiento-decrecimiento f(x)=ax^2+bx+c;Gráfica de funciones;14;
intervalo de crecimiento de f(x)=-cx_(a+lxl);Gráfica de funciones;15;
paridad;Tipos de funciones;15;
dominio doble raíz;Dominio/Recorrido de funciones;16;
Recorrido  de  f(x) = x +  |x + a|;Dominio/Recorrido de funciones;16;
sin Ax / sin Bx;Identidades trigonométricas;17;
distancias y ángulos de depresión;Aplicación trigonométrica;17;
fabrica de automoviles-rendimiento;Aplicación función cuadrática;18;
area acumulada bajo trapecio;Función definida a trazos;18;
LG circunferencia tangente a recta;Lugares geométricos;18;
LG de P(x,y) que distan de A(1,0) 1/k de lo que distan de (a,b);Lugares geométricos;19;
encontrar punto sobre recta equidistante de A y B;Lugares geométricos;20;
rectas tangentes a elipse y paraleas a recta dada;Lugares geométricos;20;
Límite función compuesta con exponente;Límite algebraico;20;
Límite función racional con exponente;Límite algebraico;20;
limite de raíces;Límite algebraico;21;
"f(x)-&gt;0, encontrar N tal que f(x) N";Definición límite;22;
limite-tan-sin;Límite trigonométrico;23;
límite senx sobre x;Límite trigonométrico;24;
cuociente de cuadraticas con valor absoluto;Desigualdades con valor absoluto;24;
determinar lado y ancho de rectangulo para caja de volumen V;Ecuación cuadrática;25;
cuadráticas disfrazadas;Inecuación lineal;26;
"determinar valores de a;(B+Ca)x^2+Dx+(B+Ca)=0 y r1=r2";Ecuación cuadrática;27;
Costo de produccion y=a-be^(cx);Función exponencial;27;
logarítmicas x racional;Ecuación logarítmica;28;
Interés compuesto, inversión más conveniente;Aplicación función exponencial;29;
Ecuaciòn Acosx=raiz(B)sen(x);Ecuación trigonométrica;30;
crecimiento peso en t;Aplicación función exponencial;30;
Crecimiento exponencial de insectos;Aplicación función exponencial;30;
encontrar amplitud y periodo;Aplicación trigonometría;30;
sistema de ecuaciones;Ecuación trigonométrica;30;
ley de Beer-Lambert;Modelos funcionales;30;
emigrantes de una isla;Aplicación función exponencial;31;
límite trinomio factorizable sobre factor;Límite algebraico;31;
límite función secante;Límite trigonométrico;31;
Continuidad;Continuidad;31;
límite cuociente de raíces;Límite algebraico;31;
encontrar ordenada de recta que forma angulo de 45 grados con otra;Ecuación de recta;32;
límite valor absoluto del valor absoluto;Límites con valor absoluto;33;
límite función parte entera;Límite trigonométrico;34;
tangente y normal a cúbica;Cónicas;34;
hipérbola: excentricidad y b^2 dados vértices y focos;Cónicas;34;
recta tangente a parábola;Lugares geométricos;34;
distancia entre centros;Conicas;34;
Continuidad fracción-irracional (determinar k y m);Continuidad reparable;35;
Continuidad racional-polinomio límites laterales;Continuidad reparable;36;
límite exponencial y seno;Límite trigonométrico;37;
límite funciones log y raíces;Límite algebraico;38;
